e,t,price,sampled prices,conv rates,expected revenues,budgets,real clicks,real buys,real_revenue
0,0,340.0,"[340.0, 400.0, 340.0]",0.9648724010800793,[-28479.76223594 -30391.27581078 -26287.19323562],"[16, 12, 12]","[1035, 606, 257]","[103, 152, 8]",89420.0
0,1,280.0,"[280.0, 160.0, 280.0]",0.7261054661340935,[166037.76559093  64342.51111869 695952.64327702],"[40, 18, 28]","[5061, 1489, 2207]","[1242, 552, 313]",589960.0
0,2,400.0,"[160.0, 400.0, 400.0]",0.9599526800353245,[  58776.32114615 3113374.26592586 4117585.90171507],"[36, 18, 18]","[4614, 1437, 837]","[171, 127, 9]",122800.0
0,3,160.0,"[100.0, 160.0, 220.0]",0.8164487797401565,[ 133577.22403461 1177908.50668876  215481.43658062],"[50, 12, 28]","[8005, 868, 2414]","[2830, 340, 702]",619520.0
0,4,220.0,"[220.0, 280.0, 220.0]",0.8715930938533489,[2317101.77453323 1206247.99090483  212967.07972037],"[54, 10, 24]","[8846, 303, 1973]","[3120, 144, 462]",819720.0
0,5,220.0,"[100.0, 220.0, 100.0]",0.45468136432335116,[ 458775.10588245 1035358.7322978   641343.63369722],"[50, 12, 28]","[8099, 797, 2883]","[2951, 350, 697]",879560.0
0,6,280.0,"[220.0, 280.0, 220.0]",0.3836686024808841,[ 853938.4392001  1199123.46402317  502910.84175055],"[54, 10, 26]","[8910, 477, 1895]","[2065, 180, 233]",693840.0
0,7,220.0,"[220.0, 220.0, 220.0]",0.48135269942676734,[ 848518.15853021 1162445.68893548  522914.34093177],"[52, 16, 20]","[8550, 1116, 1179]","[3025, 469, 297]",834020.0
0,8,280.0,"[220.0, 280.0, 220.0]",0.3715056432970615,[ 831577.79530554 1143396.0022319   530789.22807145],"[54, 14, 22]","[8983, 929, 1181]","[2249, 383, 152]",779520.0
0,9,280.0,"[220.0, 280.0, 220.0]",0.3756315245059256,[ 821215.08125063 1162954.92291082  493100.43977058],"[54, 10, 26]","[9288, 336, 2321]","[2300, 137, 323]",772800.0
0,10,280.0,"[220.0, 280.0, 220.0]",0.3715822219507663,[ 831678.1495312  1159591.89650839  544201.45215256],"[54, 12, 24]","[8933, 674, 1588]","[2148, 244, 203]",726600.0
0,11,280.0,"[100.0, 280.0, 220.0]",0.3878756151040854,[ 761871.66466969 1175547.85974706  542192.42018761],"[54, 16, 20]","[8950, 1214, 1403]","[2135, 485, 187]",785960.0
0,12,280.0,"[220.0, 280.0, 100.0]",0.3853346973729525,[ 822863.05158241 1190367.02039486  176699.59160619],"[54, 10, 26]","[8857, 478, 2041]","[2149, 189, 273]",731080.0
0,13,280.0,"[220.0, 280.0, 220.0]",0.381395212766906,[ 851036.20344129 1137329.28459126  518579.42658176],"[54, 22, 12]","[8918, 2064, 508]","[2242, 820, 70]",876960.0
0,14,280.0,"[220.0, 280.0, 100.0]",0.3920863065298591,[ 831727.5337495  1239527.67439179  226611.47037459],"[52, 28, 10]","[8495, 3595, 1]","[1993, 1425, 0]",957040.0
0,15,280.0,"[220.0, 280.0, 100.0]",0.38774137997712393,[ 877206.51080659 1241617.9701156   880477.72993572],"[50, 30, 10]","[7935, 3768, 494]","[1918, 1465, 56]",962920.0
0,16,280.0,"[220.0, 280.0, 100.0]",0.393897961309592,[ 885141.65126035 1304704.39682281  356344.66599733],"[50, 30, 10]","[7839, 3625, 400]","[1936, 1357, 51]",936320.0
0,17,280.0,"[220.0, 280.0, 220.0]",0.39204843807076584,[ 874295.18574347 1237343.05940111  560661.65902794],"[54, 26, 10]","[9053, 2547, 464]","[2245, 1006, 59]",926800.0
0,18,280.0,"[220.0, 280.0, 220.0]",0.39210399985367234,[ 858482.00294401 1273542.26957582  569594.08829717],"[46, 34, 10]","[6564, 4585, 664]","[1563, 1802, 86]",966280.0
0,19,280.0,"[220.0, 280.0, 220.0]",0.38561113494450633,[ 869340.39055543 1211429.15833292  554297.90568436],"[36, 44, 10]","[4583, 7448, 397]","[1132, 2925, 68]",1155000.0
0,20,280.0,"[220.0, 280.0, 100.0]",0.3939034791429229,[ 879738.19785    1551351.57258789  548761.72977833],"[14, 52, 24]","[1095, 10024, 1714]","[276, 3847, 209]",1212960.0
0,21,280.0,"[220.0, 280.0, 220.0]",0.38851406693684026,[1067056.13863446 1475329.72431537  664887.51398694],"[10, 58, 22]","[321, 12038, 1778]","[73, 4577, 237]",1368360.0
0,22,280.0,"[220.0, 280.0, 220.0]",0.3837670641272263,[1042740.43331026 1400066.02744399  670199.57437062],"[10, 56, 24]","[321, 11498, 1835]","[80, 4446, 251]",1337560.0
0,23,280.0,"[100.0, 280.0, 220.0]",0.38641922231711434,[ 533587.32098037 1499869.14765666  624000.85341462],"[20, 58, 12]","[1368, 12073, 696]","[308, 4749, 85]",1439760.0
0,24,280.0,"[220.0, 280.0, 100.0]",0.3890284542193597,[1046746.83626613 1475952.59284683 1226458.47895597],"[22, 58, 10]","[2001, 12305, 198]","[491, 4701, 29]",1461880.0
0,25,280.0,"[220.0, 280.0, 100.0]",0.38684925459044484,[1044160.58403109 1479847.29642685  184475.94873691],"[22, 58, 10]","[1517, 12075, 436]","[407, 4712, 53]",1448160.0
0,26,280.0,"[220.0, 280.0, 220.0]",0.38953715224510604,[1047597.10679581 1462954.23191688  666013.50963734],"[22, 58, 10]","[1387, 12160, 59]","[349, 4635, 3]",1396360.0
0,27,280.0,"[220.0, 280.0, 220.0]",0.38638518318301934,[1058655.81436126 1461451.62171234  674753.70946899],"[14, 58, 18]","[824, 12264, 895]","[204, 4762, 104]",1419600.0
0,28,280.0,"[220.0, 280.0, 100.0]",0.3862925989966153,[1042164.80649732 1437872.39609339  476401.60532025],"[22, 58, 10]","[1866, 12237, 1]","[433, 4734, 0]",1446760.0
0,29,280.0,"[220.0, 280.0, 100.0]",0.3855971657423536,[1054092.00623835 1422936.4720754  1187189.92008104],"[22, 58, 10]","[2019, 11759, 409]","[478, 4591, 62]",1436680.0
0,30,280.0,"[220.0, 280.0, 100.0]",0.3885848113093836,[1054054.41357216 1430435.82742466  915645.80585523],"[10, 58, 22]","[439, 11917, 2319]","[103, 4601, 313]",1404760.0
0,31,280.0,"[220.0, 280.0, 220.0]",0.3889469733830885,[1015089.95403456 1465765.20739181  677072.62410734],"[22, 58, 10]","[1915, 12060, 356]","[453, 4639, 49]",1439480.0
0,32,280.0,"[100.0, 280.0, 100.0]",0.38707553804724215,[ 673921.11910285 1473264.30583525  492590.23660514],"[22, 58, 10]","[2154, 12166, 1]","[500, 4647, 0]",1441160.0
0,33,280.0,"[220.0, 280.0, 100.0]",0.3876120904255121,[1033912.54520274 1457987.13941509 1074350.9091397 ],"[22, 58, 10]","[1468, 12343, 397]","[381, 4719, 43]",1440040.0
0,34,280.0,"[220.0, 280.0, 100.0]",0.38694690936952136,[1040817.90469402 1468867.01556256  -25147.83102959],"[20, 58, 12]","[1173, 12102, 574]","[274, 4607, 74]",1387400.0
0,35,280.0,"[220.0, 280.0, 100.0]",0.38617248855744,[1034603.82005026 1448380.46703411   60215.70443106],"[22, 58, 10]","[1644, 12173, 667]","[382, 4742, 83]",1457960.0
0,36,280.0,"[220.0, 280.0, 100.0]",0.38574727274913717,[1014390.08217912 1455098.09557044 1069862.08540514],"[22, 58, 10]","[1887, 12032, 417]","[460, 4618, 59]",1438360.0
0,37,280.0,"[100.0, 280.0, 220.0]",0.38741852566078616,[ -26678.93099672 1480172.10108855  653031.57604766],"[10, 58, 22]","[118, 12061, 1458]","[27, 4611, 195]",1353240.0
0,38,280.0,"[100.0, 280.0, 100.0]",0.3856121632930419,[ 420906.94894604 1466436.78233308   13879.63258436],"[22, 58, 10]","[1786, 12607, 167]","[444, 4918, 29]",1509480.0
0,39,280.0,"[220.0, 280.0, 220.0]",0.38524489141010676,[1021850.75853191 1437221.23964563  594629.34995549],"[22, 58, 10]","[1919, 12244, 1]","[462, 4650, 0]",1431360.0
0,40,280.0,"[100.0, 280.0, 220.0]",0.3869100644841723,[ 554347.24936628 1458235.77977352  640206.77742393],"[18, 58, 14]","[1112, 12085, 861]","[277, 4679, 114]",1419600.0
0,41,280.0,"[100.0, 280.0, 100.0]",0.38592004612970315,[ 448545.2486409  1453098.56266975 1185382.56553251],"[12, 58, 20]","[557, 12029, 1136]","[138, 4754, 143]",1409800.0
